name,stuff,bv,difficulty,tags,methods,tools
花蛤丝瓜汤,,Screenshot_20240715_230007_com_x_66_y_28919_w_528_h_528.png,,,,
煮鸡蛋,,Screenshot_20240715_225746_com_x_626_y_24590_w_528_h_528.png,,,,
法式红酒炖牛肉,,Screenshot_20240716_095809_com_x_66_y_36074_w_528_h_528.png,,,,
苦瓜炒鸡蛋,,Screenshot_20240715_230429_com_x_626_y_31684_w_528_h_528.png,,,,
鸡蛋羹,,Screenshot_20240715_230224_com_x_626_y_2088_w_528_h_528.png,,,,
蒸红薯,,Screenshot_20240716_100345_com_x_66_y_2460_w_528_h_528.png,,,,
加餐,,Screenshot_20240715_225351_com_x_66_y_20644_w_528_h_528.png,,,,
麻油香菇鸡饭,,Screenshot_20240715_225746_com_x_626_y_20822_w_528_h_528.png,,,,
杂粮粉冲糊,,Screenshot_20240715_230224_com_x_66_y_28874_w_528_h_528.png,,,,
脫脂牛奶,,Screenshot_20240715_230429_com_x_626_y_24804_w_528_h_528.png,,,,
脫脂牛奶,,Screenshot_20240716_100214_com_x_626_y_6334_w_528_h_528.png,,,,
蒸芋头,,Screenshot_20240715_225219_com_x_66_y_11734_w_528_h_528.png,,,,
豆沙包+四季豆木耳炒肉,,Screenshot_20240715_230115_com_x_66_y_8896_w_528_h_528.png,,,,
橙子,,Screenshot_20240715_230531_com_x_626_y_21504_w_528_h_528.png,,,,
牛奶燕麦片+煎鸡蛋,,Screenshot_20240716_095225_com_x_66_y_23516_w_528_h_528.png,,,,
秋葵蒸蛋羹,,Screenshot_20240715_230644_com_x_66_y_9652_w_528_h_528.png,,,,
油煮鸡肉蘑菇菠菜+无糖豆浆,,Screenshot_20240715_230115_com_x_66_y_19012_w_528_h_528.png,,,,
香蕉奶昔+煎鸡蛋,,Screenshot_20240715_225746_com_x_66_y_6896_w_528_h_528.png,,,,
糙米饭,,Screenshot_20240716_095700_com_x_66_y_36956_w_528_h_528.png,,,,
薏仁糙米饭,,Screenshot_20240715_224736_com_x_66_y_26600_w_528_h_528.png,,,,
菠菜胡萝卜蛋饼,,Screenshot_20240715_225351_com_x_66_y_33484_w_528_h_528.png,,,,
杂粮饭,,Screenshot_20240715_225351_com_x_66_y_11679_w_528_h_528.png,,,,
素炒有机花菜,,Screenshot_20240715_230429_com_x_66_y_34721_w_528_h_528.png,,,,
鸡肉三明治+柚子,,Screenshot_20240716_095809_com_x_66_y_33786_w_528_h_528.png,,,,
水果,,Screenshot_20240716_095445_com_x_66_y_6478_w_528_h_528.png,,,,
果仁菠菜,,Screenshot_20240716_095700_com_x_626_y_34668_w_528_h_528.png,,,,
香蕉燕麦饼+牛奶+小西红柿,,Screenshot_20240716_095445_com_x_66_y_13586_w_528_h_528.png,,,,
酱卤鸭肝+小番茄,,Screenshot_20240715_230115_com_x_626_y_29290_w_528_h_528.png,,,,
蚝油生菜,,Screenshot_20240716_095342_com_x_626_y_20098_w_528_h_528.png,,,,
番茄土豆肥牛煲,,Screenshot_20240715_230429_com_x_626_y_21332_w_528_h_528.png,,,,
鲜玉米米饭,,Screenshot_20240716_095342_com_x_66_y_27430_w_528_h_528.png,,,,
无糖酸奶+蛋白粉,,Screenshot_20240715_230115_com_x_66_y_29954_w_528_h_528.png,,,,
市售全麦馒头+脱脂牛奶,,Screenshot_20240715_230531_com_x_66_y_9742_w_528_h_528.png,,,,
苦瓜炒豆腐,,Screenshot_20240716_095553_com_x_626_y_26664_w_528_h_528.png,,,,
魔芋丝拌菠菜木耳,,Screenshot_20240716_100040_com_x_66_y_5752_w_528_h_528.png,,,,
